实验编号
2016-08-22-00-55-41 yanwenhao
初始转速,设定压力,转动惯量,摩擦片面数
737.0,73.0,0.75,6.0
温度,摩擦片内径,摩擦片外径,摩擦片厚度,润滑油粘度,初始油膜厚度,摩擦材表面粗糙度,粗糙密度
80.0,0.06175,0.074,0.00623,0.0005652,2.54e-05,6e-06,30000000.0
indextime,Tc,Finmin/10,w_rel/100,h*100000,muu
0.000000,0.000000,0.000000,7.370000,2.540000,0.000000
0.010000,0.000000,0.000000,7.270405,2.540706,0.000000
0.020000,0.000000,0.000000,7.268440,2.541410,0.000000
0.030000,0.000000,0.000000,7.266476,2.542110,0.000000
0.040000,0.000000,0.000000,7.264512,2.542808,0.000000
0.050000,0.000000,0.000000,7.262549,2.543503,0.000000
0.060000,0.000000,0.000000,7.260586,2.544195,0.000000
0.070000,0.000000,0.000000,7.258624,2.544884,0.000000
0.080000,0.000000,0.000000,7.256662,2.545570,0.000000
0.090000,0.000000,0.000000,7.254700,2.546254,0.000000
0.100000,0.000000,0.000000,7.252740,2.546935,0.000000
0.110000,0.000000,0.730000,7.250780,2.547614,0.000000
0.120000,0.757283,1.460000,7.237458,2.453339,0.126094
0.130000,1.514581,2.190000,7.212777,2.288879,0.126095
0.140000,2.271905,2.920000,7.176735,2.095967,0.126097
0.150000,3.029266,3.650000,7.129333,1.909319,0.126099
0.160000,3.786679,4.380000,7.070572,1.747094,0.126103
0.170000,4.544161,5.110000,7.000454,1.614109,0.126107
0.180000,5.301733,5.840000,6.918980,1.507764,0.126112
0.190000,6.065706,6.570000,6.826154,1.422780,0.126249
0.200000,6.914803,7.300000,6.721978,1.353915,0.127930
0.210000,7.749305,7.300000,6.606453,1.296953,0.129032
0.220000,7.802181,7.300000,6.490946,1.256954,0.129913
0.230000,7.838883,7.300000,6.375457,1.227721,0.130524
0.240000,7.864467,7.300000,6.259999,1.205741,0.130950
0.250000,7.882220,7.300000,6.144572,1.188863,0.131245
0.260000,7.894341,7.300000,6.029176,1.175697,0.131447
0.270000,7.902343,7.300000,5.913813,1.165299,0.131580
0.280000,7.907293,7.300000,5.798482,1.157010,0.131663
0.290000,7.909960,7.300000,5.683184,1.150352,0.131707
0.300000,7.910911,7.300000,5.567918,1.144971,0.131723
0.310000,7.910574,7.300000,5.452685,1.140602,0.131718
0.320000,7.909274,7.300000,5.337485,1.137041,0.131696
0.330000,7.907265,7.300000,5.222319,1.134129,0.131662
0.340000,7.904747,7.300000,5.107185,1.131741,0.131621
0.350000,7.901884,7.300000,4.992085,1.129780,0.131573
0.360000,7.898808,7.300000,4.877018,1.128165,0.131522
0.370000,7.895632,7.300000,4.761984,1.126835,0.131469
0.380000,7.892452,7.300000,4.646984,1.125737,0.131416
0.390000,7.889351,7.300000,4.532016,1.124831,0.131364
0.400000,7.886407,7.300000,4.417082,1.124081,0.131315
0.410000,7.883690,7.300000,4.302181,1.123462,0.131270
0.420000,7.881267,7.300000,4.187314,1.122949,0.131230
0.430000,7.879205,7.300000,4.072480,1.122524,0.131195
0.440000,7.877568,7.300000,3.957679,1.122172,0.131168
0.450000,7.876424,7.300000,3.842911,1.121881,0.131149
0.460000,7.875842,7.300000,3.728176,1.121640,0.131139
0.470000,7.875894,7.300000,3.613475,1.121439,0.131140
0.480000,7.876659,7.300000,3.498807,1.121274,0.131153
0.490000,7.878219,7.300000,3.384172,1.121136,0.131179
0.500000,7.880663,7.300000,3.269571,1.121022,0.131219
0.510000,7.884090,7.300000,3.155002,1.120927,0.131277
0.520000,7.888604,7.300000,3.040467,1.120849,0.131352
0.530000,7.894323,7.300000,2.925965,1.120784,0.131447
0.540000,7.901374,7.300000,2.811496,1.120730,0.131564
0.550000,7.909894,7.300000,2.697060,1.120685,0.131706
0.560000,7.920039,7.300000,2.582657,1.120648,0.131875
0.570000,7.931976,7.300000,2.468287,1.120617,0.132074
0.580000,7.945891,7.300000,2.353950,1.120592,0.132306
0.590000,7.961987,7.300000,2.239647,1.120570,0.132574
0.600000,7.980489,7.300000,2.125376,1.120553,0.132882
0.610000,8.001645,7.300000,2.011138,1.120538,0.133234
0.620000,8.025728,7.300000,1.896934,1.120526,0.133635
0.630000,8.053039,7.300000,1.782762,1.120516,0.134090
0.640000,8.083909,7.300000,1.668624,1.120508,0.134604
0.650000,8.118705,7.300000,1.554518,1.120501,0.135183
0.660000,8.157836,7.300000,1.440446,1.120495,0.135835
0.670000,8.201757,7.300000,1.326406,1.120490,0.136566
0.680000,8.250989,7.300000,1.212399,1.120486,0.137386
0.690000,8.306144,7.300000,1.098426,1.120483,0.138304
0.700000,8.367995,7.300000,0.984485,1.120480,0.139334
0.710000,8.437625,7.300000,0.870577,1.120478,0.140493
0.720000,8.516770,7.300000,0.756703,1.120476,0.141811
0.730000,8.608644,7.300000,0.642861,1.120475,0.143341
0.740000,8.719875,7.300000,0.529052,1.120473,0.145193
0.750000,8.865102,7.300000,0.415276,1.120472,0.147611
0.760000,9.077880,7.300000,0.301534,1.120471,0.151154
0.770000,9.436560,7.300000,0.187824,1.120471,0.157126
0.780000,10.125726,7.300000,0.074148,1.120470,0.168602
0.790000,0.000000,7.300000,0.000000,1.120470,0.000000
0.790000,0.000000,7.300000,0.000000,1.120469,0.000000
0.800000,0.000000,7.300000,0.000000,1.120469,0.000000
0.810000,0.000000,7.300000,0.000000,1.120469,0.000000
0.820000,0.000000,7.300000,0.000000,1.120468,0.000000
0.830000,0.000000,7.300000,0.000000,1.120468,0.000000
0.840000,0.000000,7.300000,0.000000,1.120468,0.000000
0.850000,0.000000,7.300000,0.000000,1.120468,0.000000
0.860000,0.000000,7.300000,0.000000,1.120468,0.000000
0.870000,0.000000,7.300000,0.000000,1.120468,0.000000
0.880000,0.000000,7.300000,0.000000,1.120467,0.000000
0.890000,0.000000,7.300000,0.000000,1.120467,0.000000
0.900000,0.000000,6.570000,0.000000,1.126140,0.000000
0.910000,0.000000,5.840000,0.000000,1.136862,0.000000
0.920000,0.000000,5.110000,0.000000,1.152294,0.000000
0.930000,0.000000,4.380000,0.000000,1.172303,0.000000
0.940000,0.000000,3.650000,0.000000,1.196927,0.000000
0.950000,0.000000,2.920000,0.000000,1.226374,0.000000
0.960000,0.000000,2.190000,0.000000,1.261039,0.000000
0.970000,0.000000,1.460000,0.000000,1.301559,0.000000
0.980000,0.000000,0.730000,0.000000,1.348917,0.000000
0.990000,0.000000,0.000000,0.000000,1.404616,0.000000
1.000000,0.000000,0.000000,0.000000,1.456063,0.000000
1.010000,0.000000,0.000000,0.000000,1.503287,0.000000
1.020000,0.000000,0.000000,0.000000,1.546499,0.000000
1.030000,0.000000,0.000000,0.000000,1.586011,0.000000
1.040000,0.000000,0.000000,0.000000,1.622168,0.000000
1.050000,0.000000,0.000000,0.000000,1.655318,0.000000
1.060000,0.000000,0.000000,0.000000,1.685790,0.000000
1.070000,0.000000,0.000000,0.000000,1.713880,0.000000
1.080000,0.000000,0.000000,0.000000,1.739855,0.000000
1.090000,0.000000,0.000000,0.000000,1.739855,0.000000

